model_name;p_max;cop;refrigerant;p_cut_off;slope;intercept
S735-4 R;1.1;2.8;R290;0.665;0.9999999999999991;1.9775691327385319
NEVIS EVO R32 25 UD0-I;0.68;4.61;R32;0.565;1.0000000000000022;2.4539855290534844
WOXS034KQC2 / WSXG12KMCA;0.96;4.17;R32;0.775;1.0000000000000018;3.042214968351984
WOXS034KQC2 / WSXG07KMCA;0.5;5.0;R32;0.42;1.0000000000000004;1.999389744762654
HYBRID REVOLUTION 30;0.69;2.93;R290;0.45;0.9999999999999989;1.3300650576100528
MIRA HYBRID LINK R32;1.09;2.7;R32;0.615;1.0;1.8523078793576446
TALIA HYBRID FLEX LINK R32;1.09;3.0;R32;0.72;1.0000000000000002;2.1791857404207597
ERIA S PLUS R32 4 MR/H;4.76;2.95;R32;3.06;0.9999999999999996;9.278533047057559
AE120CXYDEK/EU + MIM-E03EN;4.0;3.0;R290;2.68;0.9999999999999993;7.990178314095067
NEVIS PLUS R32 35 MUD0;1.03;3.71;R32;0.785;1.0000000000000029;2.7903167919041025
F370 1x230;0.66;1.9;R290;0.2;1.0000000000000004;0.5932707398215594
S735-7 R 1x230 V;1.6;2.76;R290;0.945;1.0000000000000002;2.812542766561466
NEVIS PLUS R32 50 MUD0;1.55;3.71;R32;1.175;1.0000000000000007;4.199020415001324
F750;1.51;2.28;R407c;0.685;0.999999999999999;1.9308333026499516
AE050CXYDEK/EU & MIM-E03EN;1.61;3.1;R290;1.135;1.0000000000000002;3.3768491099944313
AIM*140X3;5.19;2.75;R32;2.995;0.9999999999999998;9.079107563014468
HPM08-Nd2(GN);2.5;3.3;R290;1.84;1.000000000000001;5.741922944380586
HAWS012B1H0A;4.07;2.95;R290;2.66;0.9999999999999982;7.9267562737269515
F370 3x400;0.66;1.9;R290;0.2;1.0000000000000004;0.5932707398215594
S735-4 Cu;1.1;2.8;R290;0.665;0.9999999999999991;1.9775691327385319
